"region","type","ware"
"Tonto Basin","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Tonto Basin","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Tonto Basin","Jeddito Black-on-yellow","Jeddito Yellow Ware"
"Tonto Basin","Tonto Polychrome","Roosevelt Red Ware"
"Tonto Basin","Gila Polychrome","Roosevelt Red Ware"
"Tonto Basin","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Tonto Basin","Gila Polychrome","Roosevelt Red Ware"
"Tonto Basin","Tonto Polychrome","Roosevelt Red Ware"
"Tonto Basin","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Tonto Basin","Tonto Polychrome","Roosevelt Red Ware"
"Tonto Basin","Gila Polychrome","Roosevelt Red Ware"
"Tonto Basin","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Tonto Basin","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Tonto Basin","Gila Polychrome","Roosevelt Red Ware"
"Tonto Basin","Tonto Polychrome","Roosevelt Red Ware"
"Tonto Basin","Gila Red","Late Middle Gila Red Ware"
"Tonto Basin","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Tonto Basin","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Tonto Basin","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Tonto Basin","Tonto Polychrome","Roosevelt Red Ware"
"Tonto Basin","Gila Polychrome","Roosevelt Red Ware"
"Tonto Basin","Pinedale Polychrome","Late White Mountain Red Ware"
"Tonto Basin","Mogollon Corrugated Brown Ware, Undifferentiated","Mogollon Brown Ware"
"Tonto Basin","Plain Brown Ware, Undifferentiated","Plain Brown Ware"
"Tonto Basin","Salado Red","Salado Series"
"Tonto Basin","Cibola White Ware, Undifferentiated","Cibola White Ware"
"Tonto Basin","Fourmile Polychrome","Late White Mountain Red Ware"
"Tonto Basin","Gila Polychrome","Roosevelt Red Ware"
"Tonto Basin","Gila/Tonto Polychrome","Roosevelt Red Ware"
"Tonto Basin","Pinedale Black-on-white","Cibola White Ware"
"Tonto Basin","Pinto Polychrome","Roosevelt Red Ware"
"Tonto Basin","Salado White-on-red","Salado Series"
"Tonto Basin","San Carlos Red-on-brown","San Carlos Brown Ware"
"Tonto Basin","Tonto Polychrome","Roosevelt Red Ware"
"Kayenta/Tusayan","Black Mesa Black-on-white","Tusayan White Ware"
"Kayenta/Tusayan","Sosi Black-on-white","Tusayan White Ware"
"Kayenta/Tusayan","Tusayan Black-on-white","Tusayan White Ware"
"Kayenta/Tusayan","Kayenta Black-on-white","Tusayan White Ware"
"Kayenta/Tusayan","Bidahochi Black-on-white","Hopi White Ware"
"Kayenta/Tusayan","Tusayan White Ware, Undifferentiated","Tusayan White Ware"
